qid,edition,series_ordinal,label,date,nb_forged,nb_work,academic,literature,historical,music,religious,game,unknown,bd,cinema,videogame,franchise,confusing_mix,notes,,
Q3224019,3rd ed.,3,Legend of the Five Rings Roleplaying Game,2005,1,0,,,,,,,,,,,,,,,
Q3224019,4th ed.,4,Legend of the Five Rings Roleplaying Game,2010,0,14,,,,,,,,,,,,,,,
Q3224019,5th ed.,5,Legend of the Five Rings Roleplaying Game,2018,24,0,,,,,,,,,,,,,,,
Q72230547,,,Légendes des mille et une nuits,,0,5,,l,,,,,,,,,f,,4 are carvings with abstracts of The Arabian Nights,,
Q77428317,,,Legends of Alyria,,0,2,a,l,,,r,,,,,,,,,,
Q6520507,Bestiary,,Lejendary Adventure,,0,0,,,,,,,,,,,,,,,
Q77248517,,,Les Mille-Marches,,0,3,,l,,,,,,,,,,,,,
,,,Les Quatre de Baker Street,,0,3,,,,,,,,b,,,,,Strips from the comics,,
Q2995583,,,Little Wizards,,2,0,,,,,,,,,,,,,,,
Q3843118,Mage: The Sorcerers Crusade ,3,Mage: The Ascension,1998,1,55,a,l,h,m,r,,u,,,,,,,,
Q1883961,20th anniv,5,Mage: The Ascension,2015,0,15,a,l,,,r,,,b,c,,,,,,
Q1883961,Revised ed,4,Mage: The Ascension,2000,0,1,,l,,,,,,,,,,,,,
Q1883961,1st ed.,1,Mage: The Ascension,1993,6,112,a,l,,m,r,g,,b,c,,,,,,
Q1883961,2nd ed.,2,Mage: The Ascension,1995,2,70,a,l,,m,r,g,,b,c,,,,,,
Q2376070,,,Malefices,,0,3,,l,,,,,,,,,,,,,
Q932225,,,Masque of the Red Death,,0,8,,l,,,,,,,,,f,,,,
Q3304203,III,3,Mega,,0,0,,,,,,,,,,,,,,,
Q3314062,,,Miles Christi,,0,90,,,h,,r,,,,,,,,,,
Q77271931,2014,,Mindjammer,,11,0,,,,,,,,,,,,,,,
Q71204073,,,"Monkey, Ninja, Pirate, Robot: the Roleplaying Game",,0,1,a,,,,,,,,,,,,,,
,,,Morkborg,,0,0,,,,,,,,,,,,,,,
Q17142058,,,Mouse Guard,,0,2,,,,,,,,b,,,f,,,,
Q1632271,1st ed.,1,Mummy Sourcebook,1992,0,8,a,l,,m,r,,,,c,,,,,,
Q1632271,2nd ed.,2,Mummy Sourcebook,1997,0,15,a,l,h,m,r,,,b,c,,,,,,
Q1632271,1st ed.,3,Mummy: The Resurrection ,2001,8,9,a,l,h,,r,,,,c,,,,,,
Q21233575,,,Mutant City Blues,,0,0,,,,,,,,,,,,,,,
Q6943708,,,Mutants Down Under,,1,0,,,,,,,,,,,,,,,
Q1961883,,,My Life with Master,,0,3,,,h,,r,,,,,,,,,,
,,,Mythic – Game Master Emulator,,0,1,a,,,,,,,,,,,,,,
Q77076165,,,Names: The Story Games Name Project,,0,1,,l,,,,,,,,,,,,,
Q3338278,3e éd.,4,Nephilim,2001,3,7,a,l,h,,r,,,,,,,x,,,
Q3338278,20e anniv. (4e) ,6,Nephilim,2012,64,24,a,l,h,,r,,,,,,,x,,,
Q3338278,English,2,Nephilim,1994,24,23,a,l,h,m,r,,,,,,,x,,,
Q3338278,2nd ed.,3,Nephilim,1996,16,12,a,l,h,m,,,,,,,,,,,
Q7021264,,,Nexus: The Infinite City,,55,4,,l,h,,,,,,,,,,,,
Q67964237,,,Night Witches,,0,20,,,h,,,,,,,,,,,,
Q21233583,,,Night's Black Agents,,0,0,,,,,,,,,,,,,,,
Q3341428,2nd ed.,2,Nightprowler,,14,0,,,,,,,,,,,,,,,
Q70946018,,,Nine Worlds,,0,5,a,l,,,,,,,,,,,,,
Q5493,,,Nobilis,,373,0,,,,,,,,,,,,,,,
